id,log_recommends
1,4.360006973286619
2,5.862783340769838
5,4.79234740895938
6,3.9767362225456213
11,6.854100609412496
12,7.5262628508501415
21,1.6365451324311595
32,3.151430398168742
33,4.639261877355586
57,6.51259846928853
61,5.7990515210321885
65,5.727774972689113
69,3.7314179247255153
70,3.8272467088120856
76,3.642597573783733
79,8.224289577682308
81,5.021679164100338
82,7.895969020374144
84,7.437495253792361
85,4.217256731707338
86,4.761147574031558
87,7.786046336408651
88,5.408425692863295
89,7.292164454699725
92,5.391002673158578
93,4.5704400372557075
94,6.625422813316912
95,4.335065229778447
96,4.564933694891454
97,4.626600223044572
100,6.174751373546601
101,6.0223579308946285
102,7.200485185058025
103,3.189587921787
104,5.34650842949099
105,6.463309660721879
106,8.373414440777555
108,7.49568221229636
111,7.3573556678616345
112,6.409062690280104
116,5.294557619440473
118,3.4598477590487433
121,3.9788839970113963
122,5.266207520138424
124,6.231173810550355
126,5.471735028567304
132,3.344799679410977
135,5.728604477308443
136,5.976680279751076
137,3.946172735953967
141,4.175399863526476
142,4.557134515446496
146,8.089223762261554
152,4.9239302642336575
155,3.7766792975310297
156,4.279235311014057
159,6.596922418067983
160,6.399566640627223
164,6.53734216331382
166,6.277249040004731
167,4.261364751670829
176,3.8007041918461106
180,5.70832291393683
181,6.188958068493949
194,5.892024281847445
198,3.421918636732098
204,4.716337329601744
205,6.11976071939975
206,7.073131526588504
212,3.716067989854631
214,4.343417851223855
228,3.3290236084600213
229,6.993023785736214
240,3.024196572203218
242,5.106422333424716
277,5.8519061722254975
278,7.036459781267051
279,5.61310472945721
282,2.8332254939609776
302,3.264944364729563
308,2.864786061242985
313,2.984526310627162
348,3.033343814894196
351,4.22256281855336
362,3.9741706067770433
363,3.3917797977194266
379,3.2110654169859596
380,5.111817163626993
381,3.2834218293091224
387,5.376716167109309
391,5.752537706633968
398,2.425270797023457
404,5.476488083138975
407,7.292294444799763
412,7.555760734461725
416,4.311706146585349
422,4.6627621150768865
436,6.335715086574292
447,5.508924301906153
448,5.456948789965039
459,4.345885827733181
461,5.096354998956096
463,5.875138510702064
464,6.0894881496134365
475,4.482013651562397
481,3.9876635692179065
488,3.911802768484102
491,3.476676860253815
492,4.898556009507795
495,4.108504158844555
505,2.951794061357698
506,3.941957711005962
507,4.640929383446512
512,5.276269474285122
515,4.446159999223219
516,4.825320881409104
525,5.1490709540287725
529,4.724357667978611
532,6.794541150148734
539,4.931258099298247
540,3.8862494311572036
546,4.989183388221186
549,4.370385009996708
553,6.0873869880358
554,2.4936101559297748
555,8.084078479669294
557,6.372223782841365
571,4.302577363727126
576,5.318278624901518
588,4.987269765983395
598,2.564730448045368
601,4.47960086294105
602,4.634895079620795
610,5.404168877237663
617,5.066057623475838
619,5.459041139602825
629,3.6716981219054383
631,5.1612159955181
641,4.174448732216477
642,4.262435547334002
646,3.1339658476502104
647,4.874641419384105
652,4.019838405063338
653,3.234282038665234
655,4.80008173196997
656,4.656917224019784
658,5.269587359890065
659,5.981626976484825
660,3.0294358030380515
663,4.876457655358048
673,3.641153390842235
681,3.047620631492687
684,4.955150102683769
685,7.213541727498926
686,4.374585185246021
687,5.32798916198628
688,5.252935974358029
692,5.035309647084082
693,5.837213955343151
698,5.450581902653451
703,5.745462553000418
704,7.536284419013515
708,4.826170824374678
714,4.816498805484668
716,4.4107818960452025
722,8.36210966194625
723,5.593581683636051
724,5.191303606709114
727,5.0817420932326485
730,5.3016823699353095
731,5.4912081552482555
739,4.324639909708389
741,4.7674513300565025
748,2.7582334524445757
749,4.381950236099734
750,7.876592273845962
751,3.4638116113691617
754,4.312274955064908
772,4.641133275768073
775,4.363027723041816
782,4.96103823947243
787,3.5128442021865434
789,1.771579534626835
800,5.651580556682525
802,5.794852704671452
807,4.629849720768777
810,4.002209856872596
812,4.480878670845695
818,4.319146861712301
827,4.28086802994385
833,5.295374797079884
835,4.635086854434096
837,5.337042868154638
841,3.9501305304371814
